,ID,NPINUM,MCRNUM,MNAME,SYSNAME,SYSID,STCD,DTBEG,DTEND,FISYR,SERV,HSACODE,HSANAME,HRRNAME,HRRCODE,MLOCADDR,MLOCCITY,MLOCSTD,MLOCZIP,SYSADDR,SYSCITY,SYSST,SYSZIP,SYSAREA,SYSTELN,SYSTEM_PRIMARY_CONTACT,SYSTITLE,LAT,LONG,CNTYNAME,CBSANAME,CBSATYPE,CBSACODE,DIVNAME,DIVCODE,CSANAME,CSACODE,MCNTYCD,FCOUNTY,FSTCD,FCNTYCD,CNTRL,ControlCode,zipcode,address
0,6030010,,,Kwajalein Hospital,"Department of the Army, Office of the Surgeon General",9395.0,3,,,,10,,,,,U S Army Kwajalein Atoll,Kwajalein Island,,96960,5109 LEESBURG PIKE,FALLS CHURCH,VA,22041-3215,703.0,6813000.0,LTGEN Eric B Schoomaker,Surgeon General,7.0833,-171.1333,,,Rural,0,,,,,20,68020,68,20,42,Government-Federal,22041,"5109 LEESBURG PIKE , FALLS CHURCH , VA , 22041"
1,6040001,1154309169.0,400115,Wilma N. Vazquez Medical Center,,,4,,,,10,,,,,"KM 39 1/2 Road 2, Call Box 7001",Vega Baja,,00694,,,,,,,,,18.4533,-66.4069,"Vega Baja, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,145,72145,72,145,33,for-profit,nan,
2,6040002,,400098,Hospital San Francisco,United Medical Corporation,9605.0,4,10116.0,123116.0,10117.0,10,,,,,371 Avenida De Diego,San Juan,,00923-1711,603 MAIN STREET,WINDERMERE,FL,34786-3548,407.0,8762200.0,Mr. Donald R Dizney,Chairman and Chief Executive Officer,18.398613,-66.038946,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,34786,"603 MAIN STREET , WINDERMERE , FL , 34786"
3,6040004,,400120,HIMA San Pablo Caguas,,,4,10116.0,123116.0,10117.0,10,,,,,Avenida Munoz Marin,Caguas,,00726,,,,,,,,,18.2381,-66.0372,"Caguas, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,25,72025,72,25,33,for-profit,nan,
4,6040005,,400079,Hospital Buen Samaritano,,,4,10116.0,123116.0,10117.0,10,,,,,Carr #2 Km 141-1 Ave Severiano Cuevas,Aguadilla,,00603,,,,,,,,,18.4553,-67.1319,"Aguadilla, PR","Aguadilla-Isabela, PR",Metro,10380,,,,,5,72005,72,5,23,non-profit,nan,
5,6040006,,400124,Cardiovascular Center of Puerto Rico and the Caribbean,Puerto Rico Department of Health,11.0,4,70115.0,63016.0,70116.0,42,,,,,Americo Miranda Centro Medico,San Juan,,00936,BUILDING 'A' - MEDICAL CENTER,SAN JUAN,PR,00936,787.0,7652929.0,Mr. Rafael Rodriguez Mercado,Secretary of Health,18.4174,-66.0761,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,12,Government-NonFederal,00936,"BUILDING 'A' - MEDICAL CENTER , SAN JUAN , PR , 00936"
6,6040007,1376605170.0,400114,Hospital Manati Medical Center,,,4,,,,10,,,,,"Calle Hernandez, Carrion 668",Manati,,00674,,,,,,,,,18.4276,-66.4843,"Manati, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,91,72091,72,91,33,for-profit,nan,
7,6040008,,400126,Hospital Metropolitano San German,,,4,,,,49,,,,,Calle Javilla Al Costado Parque de Bombas,San German,,00683,,,,,,,,,18.0926,-67.0404,"San German, PR","San German, PR",Metro,41900,,,"Mayaguez-San German, PR",364.0,125,72125,72,125,33,for-profit,nan,
8,6040009,1831440106.0,403025,HEALTHSOUTH Rehabilitation Hospital of San Juan,HEALTHSOUTH Corporation,23.0,4,,,,46,,,,,"University Hospital, 3rd Floor",San Juan,,00923,"3660 GRANDVIEW PARKWAY, SUITE 200",BIRMINGHAM,AL,35243-3332,205.0,9677116.0,Mr. Mark J Tarr,President and Chief Executive Officer,18.4102,-66.0365,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,33,for-profit,35243,"3660 GRANDVIEW PARKWAY, SUITE 200 , BIRMINGHAM , AL , 35243"
9,6040011,1104856889.0,400111,Hospital San Carlos Borromeo,,,4,,,,10,,,,,550 Concepcion Vera Ayala,Moca,,00676,,,,,,,,,18.3847,-67.089,"Moca, PR","Aguadilla-Isabela, PR",Metro,10380,,,,,99,72099,72,99,23,non-profit,nan,
10,6040012,,400113,Hospital San Cristobal,,,4,,,,49,,,,,506 Carr Road,Coto Laurel,,00780,,,,,,,,,18.0536,-66.5629,"Ponce, PR","Ponce, PR",Metro,38660,,,"Ponce-Coamo-Santa Isabel, PR",434.0,113,72113,72,113,33,for-profit,nan,
11,6040020,,400087,Hospital Pavia Arecibo,,,4,,,,10,,,,,129 San Luis Avenue,Arecibo,,00612,,,,,,,,,18.4456,-66.7033,"Arecibo, PR","Arecibo, PR",Metro,11640,,,"San Juan-Carolina, PR",490.0,13,72013,72,13,33,for-profit,nan,
12,6040030,,400117,Hospital Metropolitano Dr. Susoni,,,4,10116.0,123116.0,10117.0,10,,,,,Calle Palma #55,Arecibo,,00612,,,,,,,,,18.4456,-66.7033,"Arecibo, PR","Arecibo, PR",Metro,11640,,,"San Juan-Carolina, PR",490.0,13,72013,72,13,33,for-profit,nan,
13,6040050,,400061,University Hospital,Puerto Rico Department of Health,11.0,4,,,,10,,,,,Nineyas 869 Rio Piedras,San Juan,,00922,BUILDING 'A' - MEDICAL CENTER,SAN JUAN,PR,00936,787.0,7652929.0,Mr. Rafael Rodriguez Mercado,Secretary of Health,18.4046,-66.1579,"San Juan, PR","San Juan-Carolina-Caguas, PR",Metro,41980,,,"San Juan-Carolina, PR",490.0,127,72127,72,127,12,Government-NonFederal,00936,"BUILDING 'A' - MEDICAL CENTER , SAN JUAN , PR , 00936"
